P.s,Item,Cond,Antecedent,Consequent,spillover,Fit,Accepts,Confident
20,3,2,459,1122,2761,Low,4.127659574,5.212765957
22,3,2,532,527,5411,Low,4.127659574,5.212765957
24,3,2,286,1081,1306,Low,4.127659574,5.212765957
2,4,1,659,1098,2660,High,5.14893617,5.14893617
4,4,1,613,1284,4175,High,5.14893617,5.14893617
6,4,1,719,,6917,High,5.14893617,5.14893617
8,4,1,565,1527,3034,High,5.14893617,5.14893617
10,4,1,516,704,,High,5.14893617,5.14893617
12,4,1,617,743,7083,High,5.14893617,5.14893617
14,4,1,841,2112,4757,High,5.14893617,5.14893617
16,4,1,1270,1578,4877,High,5.14893617,5.14893617
18,4,1,1600,1750,2892,High,5.14893617,5.14893617
20,4,1,1102,1735,3827,High,5.14893617,5.14893617
22,4,1,982,1001,1706,High,5.14893617,5.14893617
24,4,1,152,,3183,High,5.14893617,5.14893617
1,4,2,2107,1106,3848,Low,4.243902439,5.170731707
3,4,2,319,584,2228,Low,4.243902439,5.170731707
5,4,2,758,482,2645,Low,4.243902439,5.170731707
7,4,2,1390,1024,2632,Low,4.243902439,5.170731707
9,4,2,389,910,1739,Low,4.243902439,5.170731707
11,4,2,407,700,1761,Low,4.243902439,5.170731707
13,4,2,1119,3806,4206,Low,4.243902439,5.170731707
15,4,2,669,654,4659,Low,4.243902439,5.170731707
17,4,2,308,776,10871,Low,4.243902439,5.170731707
19,4,2,668,1481,2652,Low,4.243902439,5.170731707
21,4,2,594,641,2779,Low,4.243902439,5.170731707
23,4,2,715,1746,2288,Low,4.243902439,5.170731707
1,5,1,1533,1188,8017,High,4.627906977,5.093023256
3,5,1,462,677,998,High,4.627906977,5.093023256
5,5,1,641,1129,3105,High,4.627906977,5.093023256
7,5,1,1184,1239,2733,High,4.627906977,5.093023256
9,5,1,569,1101,1959,High,4.627906977,5.093023256
11,5,1,340,775,2193,High,4.627906977,5.093023256
13,5,1,705,2407,2458,High,4.627906977,5.093023256
15,5,1,361,616,3102,High,4.627906977,5.093023256
17,5,1,544,579,1459,High,4.627906977,5.093023256
19,5,1,354,1018,742,High,4.627906977,5.093023256
21,5,1,274,826,2541,High,4.627906977,5.093023256
23,5,1,1455,1335,1529,High,4.627906977,5.093023256
2,5,2,458,770,2455,Low,3.630434783,4.652173913
4,5,2,1249,1729,2005,Low,3.630434783,4.652173913
6,5,2,595,419,1628,Low,3.630434783,4.652173913
8,5,2,730,1090,2145,Low,3.630434783,4.652173913
10,5,2,654,691,7333,Low,3.630434783,4.652173913
12,5,2,1248,8567,706,Low,3.630434783,4.652173913
14,5,2,922,1800,4004,Low,3.630434783,4.652173913
16,5,2,743,385,2227,Low,3.630434783,4.652173913
18,5,2,1590,1055,2170,Low,3.630434783,4.652173913
20,5,2,792,2046,2403,Low,3.630434783,4.652173913
22,5,2,331,552,1945,Low,3.630434783,4.652173913
24,5,2,338,621,2054,Low,3.630434783,4.652173913
2,6,1,677,421,2074,High,3.97826087,4.891304348
4,6,1,1080,606,1409,High,3.97826087,4.891304348
6,6,1,905,510,1859,High,3.97826087,4.891304348
8,6,1,1078,594,2827,High,3.97826087,4.891304348
10,6,1,994,1062,3498,High,3.97826087,4.891304348
12,6,1,1543,621,1635,High,3.97826087,4.891304348
14,6,1,2764,792,3728,High,3.97826087,4.891304348
16,6,1,1307,1122,4230,High,3.97826087,4.891304348
18,6,1,1350,2360,4167,High,3.97826087,4.891304348
20,6,1,,,6308,High,3.97826087,4.891304348
22,6,1,620,390,1080,High,3.97826087,4.891304348
24,6,1,1336,878,2924,High,3.97826087,4.891304348
1,6,2,1282,791,2529,Low,3.214285714,5.071428571
3,6,2,737,390,2614,Low,3.214285714,5.071428571
5,6,2,700,608,1667,Low,3.214285714,5.071428571
7,6,2,1340,3545,1968,Low,3.214285714,5.071428571
9,6,2,1239,1485,1895,Low,3.214285714,5.071428571
11,6,2,786,1076,1460,Low,3.214285714,5.071428571
13,6,2,,,8622,Low,3.214285714,5.071428571
15,6,2,921,610,2404,Low,3.214285714,5.071428571
17,6,2,818,4527,1685,Low,3.214285714,5.071428571
19,6,2,672,426,1551,Low,3.214285714,5.071428571
21,6,2,953,4839,3523,Low,3.214285714,5.071428571
23,6,2,1277,,3249,Low,3.214285714,5.071428571
1,7,1,792,889,2551,High,4.951219512,4.975609756
3,7,1,451,529,1157,High,4.951219512,4.975609756
5,7,1,673,804,2797,High,4.951219512,4.975609756
7,7,1,747,1269,2221,High,4.951219512,4.975609756
9,7,1,852,919,1627,High,4.951219512,4.975609756
11,7,1,284,321,830,High,4.951219512,4.975609756
13,7,1,634,1163,2206,High,4.951219512,4.975609756
15,7,1,158,762,2459,High,4.951219512,4.975609756
17,7,1,421,1010,1677,High,4.951219512,4.975609756
19,7,1,226,562,2284,High,4.951219512,4.975609756
21,7,1,508,1033,3162,High,4.951219512,4.975609756
23,7,1,1768,2638,3093,High,4.951219512,4.975609756
2,7,2,376,1405,2220,Low,3.465116279,5.093023256
4,7,2,590,624,2271,Low,3.465116279,5.093023256
6,7,2,1110,565,2350,Low,3.465116279,5.093023256
8,7,2,441,882,2872,Low,3.465116279,5.093023256
10,7,2,649,2932,2469,Low,3.465116279,5.093023256
12,7,2,333,2177,2947,Low,3.465116279,5.093023256
14,7,2,823,1080,3996,Low,3.465116279,5.093023256
16,7,2,1256,2571,6367,Low,3.465116279,5.093023256
18,7,2,1764,1631,2477,Low,3.465116279,5.093023256
20,7,2,946,1749,2485,Low,3.465116279,5.093023256
22,7,2,347,1000,1725,Low,3.465116279,5.093023256
24,7,2,399,1003,3372,Low,3.465116279,5.093023256
2,8,1,604,621,1608,High,5.260869565,5.565217391
4,8,1,1284,1209,3610,High,5.260869565,5.565217391
6,8,1,600,517,1355,High,5.260869565,5.565217391
8,8,1,977,1056,2418,High,5.260869565,5.565217391
10,8,1,587,571,5764,High,5.260869565,5.565217391
12,8,1,892,553,1075,High,5.260869565,5.565217391
14,8,1,979,1314,2719,High,5.260869565,5.565217391
16,8,1,1459,1250,2713,High,5.260869565,5.565217391
18,8,1,1321,1013,3046,High,5.260869565,5.565217391
20,8,1,857,2044,2395,High,5.260869565,5.565217391
22,8,1,513,569,4369,High,5.260869565,5.565217391
24,8,1,762,529,1150,High,5.260869565,5.565217391
1,8,2,1109,901,2502,Low,4.725,5.325
3,8,2,713,1025,2168,Low,4.725,5.325
5,8,2,352,539,1327,Low,4.725,5.325
7,8,2,877,743,2626,Low,4.725,5.325
9,8,2,523,696,1455,Low,4.725,5.325
11,8,2,806,502,1203,Low,4.725,5.325
13,8,2,869,1148,3913,Low,4.725,5.325
15,8,2,407,446,1887,Low,4.725,5.325
17,8,2,186,509,1306,Low,4.725,5.325
19,8,2,266,414,1471,Low,4.725,5.325
21,8,2,2230,800,2389,Low,4.725,5.325
23,8,2,2737,1514,3748,Low,4.725,5.325
1,9,1,720,1377,1297,High,5,4.880952381
3,9,1,629,1349,997,High,5,4.880952381
5,9,1,562,992,1356,High,5,4.880952381
7,9,1,2241,863,3280,High,5,4.880952381
9,9,1,560,881,1575,High,5,4.880952381
11,9,1,520,802,1355,High,5,4.880952381
13,9,1,2005,1483,2211,High,5,4.880952381
15,9,1,792,937,3113,High,5,4.880952381
17,9,1,308,618,1968,High,5,4.880952381
19,9,1,1047,950,3311,High,5,4.880952381
21,9,1,1361,2026,1389,High,5,4.880952381
23,9,1,1210,1712,2699,High,5,4.880952381
2,9,2,898,769,1166,Low,4.02173913,5.326086957
4,9,2,726,1811,3087,Low,4.02173913,5.326086957
6,9,2,1054,2082,2286,Low,4.02173913,5.326086957
8,9,2,1411,1044,868,Low,4.02173913,5.326086957
10,9,2,3044,1963,16374,Low,4.02173913,5.326086957
12,9,2,367,857,1188,Low,4.02173913,5.326086957
14,9,2,1171,1403,3013,Low,4.02173913,5.326086957
16,9,2,908,1042,3197,Low,4.02173913,5.326086957
18,9,2,992,1632,2400,Low,4.02173913,5.326086957
20,9,2,1370,1756,1771,Low,4.02173913,5.326086957
22,9,2,537,743,1092,Low,4.02173913,5.326086957
24,9,2,1135,1262,2407,Low,4.02173913,5.326086957
2,10,1,427,734,1578,High,5.113636364,5.295454545
4,10,1,614,700,4861,High,5.113636364,5.295454545
6,10,1,651,1091,5724,High,5.113636364,5.295454545
8,10,1,1204,1361,1113,High,5.113636364,5.295454545
10,10,1,1395,1153,1274,High,5.113636364,5.295454545
12,10,1,1684,1590,1321,High,5.113636364,5.295454545
14,10,1,1065,2894,3029,High,5.113636364,5.295454545
16,10,1,2177,1829,5293,High,5.113636364,5.295454545
18,10,1,1510,1429,2653,High,5.113636364,5.295454545
20,10,1,1591,1505,2003,High,5.113636364,5.295454545
22,10,1,929,850,2397,High,5.113636364,5.295454545
24,10,1,497,1968,3672,High,5.113636364,5.295454545
1,10,2,1425,2122,2223,Low,4.380952381,4.952380952
3,10,2,1626,938,2528,Low,4.380952381,4.952380952
5,10,2,600,1182,1575,Low,4.380952381,4.952380952
7,10,2,979,2260,2220,Low,4.380952381,4.952380952
9,10,2,1280,1123,2798,Low,4.380952381,4.952380952
11,10,2,1563,1413,3048,Low,4.380952381,4.952380952
13,10,2,2528,1773,3309,Low,4.380952381,4.952380952
15,10,2,600,1152,5025,Low,4.380952381,4.952380952
17,10,2,1663,797,7482,Low,4.380952381,4.952380952
19,10,2,145,539,1046,Low,4.380952381,4.952380952
21,10,2,915,2399,1557,Low,4.380952381,4.952380952
23,10,2,2832,2502,2294,Low,4.380952381,4.952380952
1,11,1,1339,636,3797,High,4.625,5.25
3,11,1,504,369,2048,High,4.625,5.25
5,11,1,627,495,1794,High,4.625,5.25
7,11,1,741,827,3553,High,4.625,5.25
9,11,1,1411,976,2768,High,4.625,5.25
11,11,1,462,524,1937,High,4.625,5.25
13,11,1,1405,1319,3620,High,4.625,5.25
15,11,1,621,510,1565,High,4.625,5.25
17,11,1,613,438,2106,High,4.625,5.25
19,11,1,649,483,1879,High,4.625,5.25
21,11,1,461,882,5432,High,4.625,5.25
23,11,1,976,845,2838,High,4.625,5.25
2,11,2,771,435,2485,Low,4.239130435,4.956521739
4,11,2,1184,1450,6248,Low,4.239130435,4.956521739
6,11,2,1194,619,2178,Low,4.239130435,4.956521739
8,11,2,1149,367,2633,Low,4.239130435,4.956521739
10,11,2,585,496,1999,Low,4.239130435,4.956521739
12,11,2,1383,687,4641,Low,4.239130435,4.956521739
14,11,2,1300,1773,4522,Low,4.239130435,4.956521739
16,11,2,1639,946,5289,Low,4.239130435,4.956521739
18,11,2,1085,1229,3982,Low,4.239130435,4.956521739
20,11,2,1641,1033,4957,Low,4.239130435,4.956521739
22,11,2,1708,882,4739,Low,4.239130435,4.956521739
24,11,2,1550,569,3403,Low,4.239130435,4.956521739
2,12,1,1035,477,2751,High,5.444444444,5.533333333
4,12,1,615,1023,4565,High,5.444444444,5.533333333
6,12,1,597,687,1863,High,5.444444444,5.533333333
8,12,1,272,395,1436,High,5.444444444,5.533333333
10,12,1,596,452,5898,High,5.444444444,5.533333333
12,12,1,327,439,1544,High,5.444444444,5.533333333
14,12,1,2909,1422,5474,High,5.444444444,5.533333333
16,12,1,679,1546,6015,High,5.444444444,5.533333333
18,12,1,659,1335,3343,High,5.444444444,5.533333333
20,12,1,1492,1109,1291,High,5.444444444,5.533333333
22,12,1,903,395,2575,High,5.444444444,5.533333333
24,12,1,889,413,1835,High,5.444444444,5.533333333
1,12,2,1130,718,5084,Low,2.80952381,5.238095238
3,12,2,309,465,4154,Low,2.80952381,5.238095238
5,12,2,403,1027,3976,Low,2.80952381,5.238095238
7,12,2,628,1103,1991,Low,2.80952381,5.238095238
9,12,2,819,798,2482,Low,2.80952381,5.238095238
11,12,2,460,3273,1498,Low,2.80952381,5.238095238
13,12,2,437,901,2852,Low,2.80952381,5.238095238
15,12,2,903,758,2592,Low,2.80952381,5.238095238
17,12,2,330,1397,3277,Low,2.80952381,5.238095238
19,12,2,419,727,3297,Low,2.80952381,5.238095238
21,12,2,376,826,3469,Low,2.80952381,5.238095238
23,12,2,640,640,6613,Low,2.80952381,5.238095238
1,13,1,840,363,1884,High,6.025,6.175
3,13,1,312,1939,1865,High,6.025,6.175
5,13,1,1101,338,2075,High,6.025,6.175
7,13,1,,2286,3453,High,6.025,6.175
9,13,1,967,501,2310,High,6.025,6.175
11,13,1,761,182,1342,High,6.025,6.175
13,13,1,1014,842,3462,High,6.025,6.175
15,13,1,1503,461,1929,High,6.025,6.175
17,13,1,,396,1254,High,6.025,6.175
19,13,1,1049,517,2819,High,6.025,6.175
21,13,1,632,620,1730,High,6.025,6.175
23,13,1,729,677,6662,High,6.025,6.175
2,13,2,425,841,2003,Low,3.955555556,5.133333333
4,13,2,511,899,4392,Low,3.955555556,5.133333333
6,13,2,887,755,8380,Low,3.955555556,5.133333333
8,13,2,,1520,1979,Low,3.955555556,5.133333333
10,13,2,,1716,4587,Low,3.955555556,5.133333333
12,13,2,217,408,6676,Low,3.955555556,5.133333333
14,13,2,559,851,5649,Low,3.955555556,5.133333333
16,13,2,550,1209,3918,Low,3.955555556,5.133333333
18,13,2,,2712,3529,Low,3.955555556,5.133333333
20,13,2,756,778,2876,Low,3.955555556,5.133333333
22,13,2,513,609,3309,Low,3.955555556,5.133333333
24,13,2,710,934,3610,Low,3.955555556,5.133333333
2,14,1,972,492,1215,High,4.826086957,5.086956522
4,14,1,658,562,,High,4.826086957,5.086956522
6,14,1,543,497,1466,High,4.826086957,5.086956522
8,14,1,599,877,1172,High,4.826086957,5.086956522
10,14,1,1664,4329,1750,High,4.826086957,5.086956522
12,14,1,906,352,1308,High,4.826086957,5.086956522
14,14,1,1666,1014,3892,High,4.826086957,5.086956522
16,14,1,760,884,2061,High,4.826086957,5.086956522
18,14,1,1209,585,1843,High,4.826086957,5.086956522
20,14,1,1564,832,2415,High,4.826086957,5.086956522
22,14,1,589,1126,3379,High,4.826086957,5.086956522
24,14,1,1178,824,1335,High,4.826086957,5.086956522
1,14,2,1365,655,1470,Low,4.023255814,5
3,14,2,578,424,1327,Low,4.023255814,5
5,14,2,554,1102,985,Low,4.023255814,5
7,14,2,1402,725,1263,Low,4.023255814,5
9,14,2,607,791,1279,Low,4.023255814,5
11,14,2,644,791,1872,Low,4.023255814,5
13,14,2,983,492,3802,Low,4.023255814,5
15,14,2,991,1509,3706,Low,4.023255814,5
17,14,2,643,1953,1265,Low,4.023255814,5
19,14,2,781,189,652,Low,4.023255814,5
21,14,2,396,702,1544,Low,4.023255814,5
23,14,2,1336,2719,1643,Low,4.023255814,5
1,15,1,638,1568,2945,High,5.674418605,5.790697674
3,15,1,351,510,3915,High,5.674418605,5.790697674
5,15,1,1228,1430,1825,High,5.674418605,5.790697674
7,15,1,1932,1160,2598,High,5.674418605,5.790697674
9,15,1,578,924,2748,High,5.674418605,5.790697674
11,15,1,493,855,2204,High,5.674418605,5.790697674
13,15,1,,4454,3230,High,5.674418605,5.790697674
15,15,1,473,739,3643,High,5.674418605,5.790697674
17,15,1,355,668,4461,High,5.674418605,5.790697674
19,15,1,476,451,1176,High,5.674418605,5.790697674
21,15,1,249,1505,3312,High,5.674418605,5.790697674
23,15,1,507,5760,2551,High,5.674418605,5.790697674
2,15,2,206,1816,2262,Low,4.804347826,5
4,15,2,960,1783,2461,Low,4.804347826,5
6,15,2,691,786,9163,Low,4.804347826,5
8,15,2,463,1005,2763,Low,4.804347826,5
10,15,2,535,1065,14954,Low,4.804347826,5
12,15,2,,1141,1425,Low,4.804347826,5
14,15,2,609,2024,,Low,4.804347826,5
16,15,2,716,1085,,Low,4.804347826,5
18,15,2,1180,1698,2840,Low,4.804347826,5
20,15,2,530,1847,3503,Low,4.804347826,5
22,15,2,336,809,2153,Low,4.804347826,5
24,15,2,1813,770,2499,Low,4.804347826,5
2,16,1,140,315,4415,High,4.574468085,4.936170213
4,16,1,358,637,3563,High,4.574468085,4.936170213
6,16,1,768,985,6566,High,4.574468085,4.936170213
8,16,1,369,638,2885,High,4.574468085,4.936170213
10,16,1,1835,569,15127,High,4.574468085,4.936170213
12,16,1,1154,564,2973,High,4.574468085,4.936170213
14,16,1,769,1684,4601,High,4.574468085,4.936170213
16,16,1,519,359,1475,High,4.574468085,4.936170213
18,16,1,609,776,4461,High,4.574468085,4.936170213
20,16,1,851,574,3858,High,4.574468085,4.936170213
22,16,1,402,1109,4195,High,4.574468085,4.936170213
24,16,1,523,542,2510,High,4.574468085,4.936170213
1,16,2,1291,1301,11839,Low,3.902439024,5.048780488
3,16,2,282,414,3653,Low,3.902439024,5.048780488
5,16,2,796,1773,2500,Low,3.902439024,5.048780488
7,16,2,,3993,3330,Low,3.902439024,5.048780488
9,16,2,496,941,2847,Low,3.902439024,5.048780488
11,16,2,419,449,1588,Low,3.902439024,5.048780488
13,16,2,1258,678,7661,Low,3.902439024,5.048780488
15,16,2,620,978,4070,Low,3.902439024,5.048780488
17,16,2,184,340,5914,Low,3.902439024,5.048780488
19,16,2,504,512,1886,Low,3.902439024,5.048780488
21,16,2,970,563,3515,Low,3.902439024,5.048780488
23,16,2,4589,3759,2155,Low,3.902439024,5.048780488
1,17,1,1172,615,1528,High,5.846153846,5.769230769
3,17,1,518,326,1927,High,5.846153846,5.769230769
5,17,1,612,437,841,High,5.846153846,5.769230769
7,17,1,1807,417,1736,High,5.846153846,5.769230769
9,17,1,869,449,1657,High,5.846153846,5.769230769
11,17,1,649,304,2002,High,5.846153846,5.769230769
13,17,1,1349,1085,1954,High,5.846153846,5.769230769
15,17,1,1225,887,2132,High,5.846153846,5.769230769
17,17,1,272,419,2364,High,5.846153846,5.769230769
19,17,1,743,243,667,High,5.846153846,5.769230769
21,17,1,365,591,1594,High,5.846153846,5.769230769
23,17,1,,,4435,High,5.846153846,5.769230769
2,17,2,762,472,1474,Low,4.790697674,5
4,17,2,857,749,2641,Low,4.790697674,5
6,17,2,1220,1206,1218,Low,4.790697674,5
8,17,2,1560,410,1037,Low,4.790697674,5
10,17,2,1571,1164,15345,Low,4.790697674,5
12,17,2,1068,721,2751,Low,4.790697674,5
14,17,2,1531,999,4216,Low,4.790697674,5
16,17,2,350,436,869,Low,4.790697674,5
18,17,2,1276,824,2803,Low,4.790697674,5
20,17,2,1334,671,4094,Low,4.790697674,5
22,17,2,761,326,764,Low,4.790697674,5
24,17,2,1064,299,1531,Low,4.790697674,5
2,18,1,283,633,1334,High,4.260869565,4.565217391
4,18,1,415,912,2596,High,4.260869565,4.565217391
6,18,1,600,470,1057,High,4.260869565,4.565217391
8,18,1,934,687,1699,High,4.260869565,4.565217391
10,18,1,315,471,841,High,4.260869565,4.565217391
12,18,1,313,200,1470,High,4.260869565,4.565217391
14,18,1,822,926,3211,High,4.260869565,4.565217391
16,18,1,,,4447,High,4.260869565,4.565217391
18,18,1,954,1273,2804,High,4.260869565,4.565217391
20,18,1,1041,1094,2620,High,4.260869565,4.565217391
22,18,1,2303,1040,4316,High,4.260869565,4.565217391
24,18,1,272,256,1233,High,4.260869565,4.565217391
1,18,2,774,630,1512,Low,4.243902439,4.804878049
3,18,2,373,1042,1052,Low,4.243902439,4.804878049
5,18,2,397,481,1977,Low,4.243902439,4.804878049
7,18,2,1298,1892,2073,Low,4.243902439,4.804878049
9,18,2,310,787,2913,Low,4.243902439,4.804878049
11,18,2,579,916,526,Low,4.243902439,4.804878049
13,18,2,440,871,2044,Low,4.243902439,4.804878049
15,18,2,317,334,1456,Low,4.243902439,4.804878049
17,18,2,251,262,1457,Low,4.243902439,4.804878049
19,18,2,280,652,1031,Low,4.243902439,4.804878049
21,18,2,675,402,1105,Low,4.243902439,4.804878049
23,18,2,632,2444,2164,Low,4.243902439,4.804878049
