P.s,Item,Cond,Antecedent,Consequent,spillover,Fit,Accepts
7,11,1,741,827,3553,High,4.625
9,11,1,1549,838,2624,High,4.625
11,11,1,462,524,1588,High,4.625
13,11,1,1405,1319,3535,High,4.625
15,11,1,621,510,1565,High,4.625
17,11,1,613,438,1992,High,4.625
19,11,1,649,483,1879,High,4.625
21,11,1,461,1384,4743,High,4.625
23,11,1,976,845,2838,High,4.625
2,11,2,771,435,2485,Low,4.239130435
4,11,2,1714,2385,3451,Low,4.239130435
6,11,2,1194,619,1420,Low,4.239130435
8,11,2,1149,749,2251,Low,4.239130435
10,11,2,585,496,1999,Low,4.239130435
12,11,2,1383,687,3439,Low,4.239130435
14,11,2,1497,1576,4522,Low,4.239130435
16,11,2,974,815,5136,Low,4.239130435
18,11,2,1085,1229,3888,Low,4.239130435
20,11,2,1641,1033,4957,Low,4.239130435
22,11,2,1708,882,4739,Low,4.239130435
24,11,2,1319,569,3311,Low,4.239130435
2,12,1,1035,477,2751,High,5.444444444
4,12,1,615,1023,3810,High,5.444444444
6,12,1,597,687,1468,High,5.444444444
8,12,1,272,395,1436,High,5.444444444
10,12,1,845,452,2090,High,5.444444444
12,12,1,327,292,1544,High,5.444444444
14,12,1,2074,1422,5474,High,5.444444444
16,12,1,679,2737,4365,High,5.444444444
18,12,1,659,1335,3343,High,5.444444444
20,12,1,1492,1109,1291,High,5.444444444
22,12,1,564,395,2575,High,5.444444444
24,12,1,440,413,1427,High,5.444444444
1,12,2,874,718,2442,Low,2.80952381
3,12,2,534,639,1418,Low,2.80952381
5,12,2,403,684,1369,Low,2.80952381
7,12,2,268,1103,1991,Low,2.80952381
9,12,2,819,798,2348,Low,2.80952381
11,12,2,970,1262,1498,Low,2.80952381
13,12,2,437,901,2852,Low,2.80952381
15,12,2,652,758,2592,Low,2.80952381
17,12,2,1158,1062,1966,Low,2.80952381
19,12,2,419,501,2085,Low,2.80952381
21,12,2,573,826,2118,Low,2.80952381
23,12,2,640,640,6613,Low,2.80952381
1,13,1,840,363,1884,High,6.025
3,13,1,881,841,1748,High,6.025
5,13,1,720,338,1916,High,6.025
7,13,1,921,919,2888,High,6.025
9,13,1,293,501,2310,High,6.025
11,13,1,435,182,1342,High,6.025
13,13,1,1014,842,3462,High,6.025
15,13,1,551,461,1735,High,6.025
17,13,1,83,396,1171,High,6.025
19,13,1,395,517,2654,High,6.025
21,13,1,439,620,1730,High,6.025
23,13,1,493,677,6662,High,6.025
2,13,2,425,703,2003,Low,3.955555556
4,13,2,297,899,3378,Low,3.955555556
6,13,2,498,1503,3081,Low,3.955555556
8,13,2,395,876,1653,Low,3.955555556
10,13,2,480,1518,1903,Low,3.955555556
12,13,2,217,746,2411,Low,3.955555556
14,13,2,559,851,5435,Low,3.955555556
16,13,2,685,1074,3450,Low,3.955555556
18,13,2,891,1192,3210,Low,3.955555556
20,13,2,756,778,2876,Low,3.955555556
22,13,2,513,609,2312,Low,3.955555556
24,13,2,639,386,2491,Low,3.955555556
2,14,1,972,492,1215,High,4.826086957
4,14,1,526,562,695,High,4.826086957
6,14,1,543,497,1466,High,4.826086957
8,14,1,599,877,1172,High,4.826086957
10,14,1,1664,4329,1596,High,4.826086957
12,14,1,906,352,1308,High,4.826086957
14,14,1,1838,1014,3584,High,4.826086957
16,14,1,760,884,2061,High,4.826086957
18,14,1,1209,585,1843,High,4.826086957
20,14,1,1751,832,2228,High,4.826086957
22,14,1,1137,1026,1235,High,4.826086957
24,14,1,519,824,1335,High,4.826086957
1,14,2,1365,655,1470,Low,4.023255814
3,14,2,479,424,1327,Low,4.023255814
5,14,2,554,1102,985,Low,4.023255814
7,14,2,529,725,1263,Low,4.023255814
9,14,2,735,663,1279,Low,4.023255814
11,14,2,312,791,1756,Low,4.023255814
13,14,2,983,492,3541,Low,4.023255814
15,14,2,991,1509,1820,Low,4.023255814
17,14,2,869,1266,1181,Low,4.023255814
19,14,2,603,189,652,Low,4.023255814
21,14,2,528,570,1544,Low,4.023255814
23,14,2,1336,1698,1643,Low,4.023255814
1,15,1,638,1568,2772,High,5.674418605
3,15,1,225,510,3210,High,5.674418605
5,15,1,1183,1047,1825,High,5.674418605
7,15,1,686,1160,2598,High,5.674418605
9,15,1,578,924,2748,High,5.674418605
11,15,1,306,855,2204,High,5.674418605
13,15,1,1181,2854,3230,High,5.674418605
15,15,1,473,739,2433,High,5.674418605
17,15,1,355,668,3122,High,5.674418605
19,15,1,476,451,1176,High,5.674418605
21,15,1,249,1505,3312,High,5.674418605
23,15,1,1604,3099,2551,High,5.674418605
2,15,2,206,1816,1692,Low,4.804347826
4,15,2,634,1783,2461,Low,4.804347826
6,15,2,691,786,2391,Low,4.804347826
8,15,2,463,1005,2159,Low,4.804347826
10,15,2,926,1734,2975,Low,4.804347826
12,15,2,,1141,1425,Low,4.804347826
14,15,2,609,1719,1755,Low,4.804347826
16,15,2,716,1085,3014,Low,4.804347826
18,15,2,506,1698,2840,Low,4.804347826
20,15,2,530,1847,3503,Low,4.804347826
22,15,2,336,809,2153,Low,4.804347826
24,15,2,543,770,2413,Low,4.804347826
2,16,1,449,315,3362,High,4.574468085
4,16,1,484,637,3265,High,4.574468085
6,16,1,932,821,1531,High,4.574468085
8,16,1,369,638,2732,High,4.574468085
10,16,1,1173,1161,2978,High,4.574468085
12,16,1,1022,564,2123,High,4.574468085
14,16,1,769,1684,4601,High,4.574468085
16,16,1,519,359,1475,High,4.574468085
18,16,1,609,776,4461,High,4.574468085
20,16,1,851,574,3858,High,4.574468085
22,16,1,402,1109,2060,High,4.574468085
24,16,1,179,542,2510,High,4.574468085
1,16,2,2126,1825,2951,Low,3.902439024
3,16,2,282,414,2451,Low,3.902439024
5,16,2,877,600,1758,Low,3.902439024
7,16,2,2014,1268,3201,Low,3.902439024
9,16,2,496,1072,2611,Low,3.902439024
11,16,2,419,449,1588,Low,3.902439024
13,16,2,2518,678,3975,Low,3.902439024
15,16,2,620,978,4070,Low,3.902439024
17,16,2,184,340,4560,Low,3.902439024
19,16,2,345,370,1623,Low,3.902439024
21,16,2,1078,563,2780,Low,3.902439024
23,16,2,2325,949,2155,Low,3.902439024
1,17,1,1172,615,1528,High,5.846153846
3,17,1,518,326,1263,High,5.846153846
5,17,1,612,437,841,High,5.846153846
7,17,1,658,417,1736,High,5.846153846
9,17,1,869,449,1657,High,5.846153846
11,17,1,649,304,1713,High,5.846153846
13,17,1,1093,1085,1954,High,5.846153846
15,17,1,1326,887,2031,High,5.846153846
17,17,1,272,419,2364,High,5.846153846
19,17,1,594,243,667,High,5.846153846
21,17,1,365,591,1594,High,5.846153846
23,17,1,1339,996,1710,High,5.846153846
2,17,2,762,472,1474,Low,4.790697674
4,17,2,857,749,2641,Low,4.790697674
6,17,2,1446,571,1050,Low,4.790697674
8,17,2,800,410,1037,Low,4.790697674
10,17,2,2171,1669,3595,Low,4.790697674
12,17,2,1068,721,1047,Low,4.790697674
14,17,2,1531,999,4216,Low,4.790697674
16,17,2,350,436,718,Low,4.790697674
18,17,2,1116,824,2639,Low,4.790697674
20,17,2,2250,671,2835,Low,4.790697674
22,17,2,761,326,764,Low,4.790697674
24,17,2,688,299,1329,Low,4.790697674
2,18,1,283,633,1334,High,4.260869565
4,18,1,415,912,2596,High,4.260869565
6,18,1,600,470,916,High,4.260869565
8,18,1,392,687,1699,High,4.260869565
10,18,1,315,471,841,High,4.260869565
12,18,1,313,200,1470,High,4.260869565
14,18,1,822,926,3000,High,4.260869565
16,18,1,952,619,2495,High,4.260869565
18,18,1,1301,926,2723,High,4.260869565
20,18,1,1041,1094,2620,High,4.260869565
22,18,1,1267,1246,2049,High,4.260869565
24,18,1,272,539,950,High,4.260869565
1,18,2,774,630,1373,Low,4.243902439
3,18,2,785,630,1052,Low,4.243902439
5,18,2,397,481,1977,Low,4.243902439
7,18,2,1046,1054,2073,Low,4.243902439
9,18,2,310,787,1947,Low,4.243902439
11,18,2,459,690,526,Low,4.243902439
13,18,2,440,871,2044,Low,4.243902439
15,18,2,317,334,1456,Low,4.243902439
17,18,2,251,262,1457,Low,4.243902439
19,18,2,280,487,1031,Low,4.243902439
21,18,2,207,402,936,Low,4.243902439
23,18,2,478,1436,2164,Low,4.243902439
