V8,V9,V10,Consent,CrowdFlower ID,Gender,Age,check,check_TEXT,1A_acceptance,1A_confidence,2B_acceptance,2B_confidence,3A_acceptance,3A_confidence,4B_acceptance,4B_confidence,5A_acceptance,5A_confidence,6B_acceptance,6B_confidence,7A_acceptance,7A_confidence,8B_acceptance,8B_confidence,9A_acceptance,9A_confidence,10B_acceptance,10B_confidence,11A_acceptance,11A_confidence,12B_acceptance,12B_confidence,13A_acceptance,13A_confidence,14B_acceptance,14B_confidence,15A_acceptance,15A_confidence,16B_acceptance,16B_confidence,17A_acceptance,17A_confidence,18B_acceptance,18B_confidence,1B_acceptance,1B_confidence,2A_acceptance,2A_confidence,3B_acceptance,3B_confidence,4A_acceptance,4A_confidence,5B_acceptance,5B_confidence,6A_acceptance,6A_confidence,7B_acceptance,7B_confidence,8A_acceptance,8A_confidence,9B_acceptance,9B_confidence,10A_acceptance,10A_confidence,11B_acceptance,11B_confidence,12A_acceptance,12A_confidence,13B_acceptance,13B_confidence,14A_acceptance,14A_confidence,15B_acceptance,15B_confidence,16A_acceptance,16A_confidence,17B_acceptance,17B_confidence,18A_acceptance,18A_confidence,serious
16/06/17 12:24,16/06/17 12:33,1,1,42763394,1,25,7,I read the instructions,1,1,,,,,,,3,5,,,,,,,3,1,7,7,2,1,7,5,,,7,1,5,1,3,1,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
16/06/17 12:17,16/06/17 12:34,1,1,42823656,1,28,7,I read the instructions,,,5,4,,,6,7,5,5,,,,,3,5,,,,,5,6,,,7,7,4,3,7,7,3,5,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
16/06/17 12:29,16/06/17 12:36,1,1,38913334,2,30,7,I read the instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,,,,,,4,4,3,5,,,2,6,6,6,,,,,4,4,4,7,3,4,,,5,5,5,6,1
16/06/17 12:33,16/06/17 12:36,1,1,21785776,2,38,7,I read the instructions,,,4,4,5,5,3,4,4,4,3,5,4,4,5,5,,,,,,,,,6,6,,,,,,,5,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
16/06/17 12:37,16/06/17 12:44,1,1,38806465,2,31,7,I read the instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,,,3,6,5,6,3,6,,,,,4,5,,,,,5,6,6,6,,,6,6,,,5,6,4,3,,,1
16/06/17 12:40,16/06/17 12:45,1,1,41499434,1,49,7,I read the instructions,,,3,4,,,4,3,6,5,2,6,,,5,6,,,3,5,,,,,,,3,4,6,6,4,5,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
16/06/17 12:44,16/06/17 12:46,1,1,38274743,1,19,7,I read the instructions,6,6,,,1,7,,,4,5,4,4,,,2,6,4,5,6,5,,,1,6,6,7,,,,,,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
16/06/17 12:10,16/06/17 12:49,1,1,42469066,1,49,7,I read the instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,6,6,6,3,6,6,7,7,,,6,6,,,,,6,6,6,6,,,5,5,3,3,,,,,1
16/06/17 12:43,16/06/17 12:49,1,1,29950119,2,28,7,I read the instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,7,6,,,5,6,,,,,2,5,6,7,,,,,6,6,,,4,4,3,2,7,5,5,4,,,,,1
16/06/17 12:48,16/06/17 12:53,1,1,12115558,2,64,7,I read the instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,4,5,,,2,4,3,4,,,,,4,5,3,4,2,4,6,6,,,,,,,,,5,4,2,5,1
16/06/17 12:33,16/06/17 12:55,1,1,43374090,1,22,7,I read the instructions,6,3,,,6,7,,,,,,,2,3,,,6,4,,,3,5,4,6,1,4,,,3,6,6,4,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
16/06/17 12:50,16/06/17 12:55,1,1,2034278,1,45,7,I read the instructions,,,3,5,,,6,5,4,3,3,4,5,4,,,,,,,4,4,,,6,5,5,5,,,,,6,6,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
16/06/17 12:51,16/06/17 12:56,1,1,31994588,2,40,7,I read the instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,5,5,,,,,,,5,6,3,4,5,5,,,,,3,6,7,7,3,4,5,5,,,3,4,1
16/06/17 12:52,16/06/17 12:57,1,1,30888099,1,30,7,i read the instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,,,4,4,6,6,4,4,6,5,4,5,6,6,,,,,,,6,5,,,,,,,,,5,5,5,5,1
16/06/17 12:54,16/06/17 12:58,1,1,39226056,2,25,7,I read the instructions,,,,,6,6,,,,,,,5,4,,,4,1,4,2,,,3,5,7,6,,,7,6,4,3,7,6,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
16/06/17 12:49,16/06/17 13:02,1,1,40981106,1,27,7,I read the instructions,7,7,3,4,,,1,1,,,,,1,4,7,7,,,5,4,7,7,1,7,,,1,7,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
16/06/17 12:56,16/06/17 13:08,1,1,29946110,2,39,7,I read the instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,,,,,4,4,4,4,4,4,,,6,5,4,6,,,,,,,6,5,5,4,4,4,5,4,,,1
16/06/17 13:09,16/06/17 13:13,1,1,43433057,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,,,,,,,,,,,5,3,,,,,4,3,4,3,3,5,5,5,4,5,4,5,4,6,4,5,,,1
16/06/17 13:08,16/06/17 13:13,1,1,34070076,1,30,7,I read the instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,4,2,5,4,,,5,4,,,5,5,5,5,,,5,3,6,6,5,5,,,,,,,,,4,4,1
16/06/17 13:09,16/06/17 13:14,1,1,4538215,1,25,7,I read the instructions,6,7,4,6,,,6,4,6,5,1,6,,,6,6,4,6,,,,,,,,,4,4,6,7,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
16/06/17 13:11,16/06/17 13:18,1,1,38202325,2,44,7,I read the instructions,5,7,,,7,7,5,7,,,,,7,7,7,7,,,3,7,7,7,,,7,7,,,,,6,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
16/06/17 13:25,16/06/17 13:34,1,1,41701849,1,38,7,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,6,7,6,7,7,7,7,7,6,7,,,,,7,7,,,,,,,7,7,,,6,7,7,7,,,1
16/06/17 13:27,16/06/17 13:36,1,1,6336109,2,57,7,I read the instructions,,,3,4,4,3,,,6,4,6,5,,,,,5,4,,,2,3,2,5,,,4,4,5,6,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
16/06/17 13:39,16/06/17 13:47,1,1,18215885,2,58,7,I read the instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,3,4,,,5,4,6,6,4,2,,,1,6,4,3,,,5,5,4,3,5,4,1
16/06/17 13:33,16/06/17 13:47,1,1,21843889,1,27,7,I read the instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,5,6,,,4,5,,,,,6,5,5,6,,,5,6,7,6,6,6,,,5,6,,,,,3,5,1
16/06/17 13:43,16/06/17 13:51,1,1,36929821,2,32,7,I read the instructions,7,6,,,,,,,3,5,2,6,,,4,6,6,6,,,6,6,,,6,6,4,5,,,4,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
16/06/17 13:37,16/06/17 13:56,1,1,38932488,2,24,7,I read the instructions,,,2,2,6,3,3,4,5,5,,,4,2,,,6,6,4,2,,,2,4,,,,,6,6,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
16/06/17 13:50,16/06/17 13:59,1,1,39174418,1,59,7,I read the instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,2,6,6,5,,,2,6,,,6,6,,,,,,,,,4,6,5,5,5,6,5,4,,,4,6,1
16/06/17 14:10,16/06/17 14:14,1,1,37177227,1,32,7,I read the instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,3,5,,,,,3,5,,,,,,,2,6,,,5,5,6,6,4,5,,,4,5,,,5,5,5,3,1
16/06/17 14:14,16/06/17 14:22,1,1,18666417,2,57,7,I read the instructions,5,4,,,6,6,2,4,4,1,,,,,,,7,7,2,1,3,3,1,4,,,,,,,1,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
16/06/17 14:19,16/06/17 14:22,1,1,marcos,1,31,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,,,,,4,3,3,3,5,4,4,5,6,6,4,5,4,3,5,5,,,,,,,,,,,,,4,3,2
16/06/17 14:14,16/06/17 14:23,1,1,32547262,2,33,7,I read the instructions,,,4,7,5,5,4,7,,,4,4,5,6,5,6,,,4,7,,,3,7,,,,,6,6,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
16/06/17 14:16,16/06/17 14:23,1,1,43540969,2,19,7,I read the instruction,,,,,,,,,5,6,3,6,,,6,6,5,6,4,6,5,6,2,6,6,6,5,6,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
16/06/17 14:11,16/06/17 14:24,1,1,42782718,1,37,7,I read the instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,,,4,5,4,5,6,6,6,5,5,6,,,6,6,3,7,,,5,5,,,,,,,,,5,5,,,1
16/06/17 14:24,16/06/17 14:25,1,1,lastima,1,28,7,,4,4,4,5,,,3,4,4,5,,,,,4,3,,,4,5,,,,,,,3,3,3,3,3,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
16/06/17 14:14,16/06/17 14:25,1,1,43603219,1,30,7,I read the instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,3,4,,,,,,,,,4,5,,,,,5,5,5,5,1,7,2,6,3,5,5,4,5,4,,,1
16/06/17 14:26,16/06/17 14:28,1,1,rafael,1,23,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,4,4,4,5,,,4,4,5,4,,,,,,,5,4,,,3,4,5,5,4,3,,,3,5,,,,,2
16/06/17 14:22,16/06/17 14:28,1,1,29096504,1,47,7,I read the instructions,,,3,5,6,5,3,5,,,,,5,4,4,4,,,,,,,,,6,6,3,5,6,6,,,5,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
16/06/17 14:21,16/06/17 14:30,1,1,27934334,1,50,7,I read the instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,,,,,2,5,5,5,1,5,,,2,6,,,,,4,7,5,5,5,4,3,5,2,4,1
16/06/17 14:26,16/06/17 14:32,1,1,18881135,2,31,7,I read the instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,,,,,2,7,5,7,4,7,7,7,,,7,7,4,7,5,7,4,7,,,4,7,,,,,,,1
16/06/17 14:30,16/06/17 14:37,1,1,12009597,2,45,7,I read the instructions,5,5,,,6,7,,,,,2,4,6,6,,,6,7,,,6,6,2,6,6,7,,,,,6,7,,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
16/06/17 14:33,16/06/17 14:40,1,1,39911407,1,24,7,I read the instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,5,5,4,4,,,,,,,,,4,4,4,4,3,3,,,,,6,6,,,3,3,3,3,3,3,1
16/06/17 14:39,16/06/17 14:44,1,1,31580375,1,49,7,i read the instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,3,3,5,4,2,2,,,,,6,6,3,3,,,5,4,6,6,3,3,6,5,1
16/06/17 14:38,16/06/17 14:44,1,1,18277968,1,34,7,I read the instructions,7,6,4,3,7,7,,,,,3,3,,,5,5,6,6,,,5,4,,,7,7,,,,,,,5,6,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
16/06/17 14:38,16/06/17 14:46,1,1,16844474,2,49,7,I read the instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,6,6,3,5,4,5,2,5,,,3,4,,,,,,,,,,,,,5,4,,,5,5,6,6,3,5,1
16/06/17 14:37,16/06/17 14:48,1,1,14976706,1,43,7,I read the instructions,,,2,6,,,2,5,1,7,,,5,4,,,,,2,6,,,1,6,6,6,2,6,6,6,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
16/06/17 14:35,16/06/17 14:49,1,1,41749010,1,29,7,I read the instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,,,4,4,,,,,7,7,,,7,4,2,4,,,7,7,7,7,1,7,7,3,7,7,,,,,,,1
16/06/17 14:42,16/06/17 14:49,1,1,37274011,1,38,7,I read the instructions ,2,4,,,7,5,7,7,,,1,7,,,,,6,7,3,4,,,1,5,,,6,7,6,6,,,,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
16/06/17 14:46,16/06/17 14:51,1,1,hladir,1,38,7,I read the instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,,,5,5,4,3,3,4,5,5,,,2,6,1,5,4,3,5,5,,,,,,,,,,,,,4,4,1
16/06/17 14:43,16/06/17 14:51,1,1,40925305,2,51,7,I read the instructions,5,6,,,,,2,6,2,6,,,5,5,4,5,,,,,3,4,,,6,5,,,,,1,7,3,6,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
16/06/17 14:50,16/06/17 14:53,1,1,43171001,2,23,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,3,3,,,4,6,3,6,,,3,3,,,,,3,3,4,5,,,2,4,3,2,4,5,1
16/06/17 14:51,16/06/17 14:58,1,1,42031151,2,25,7,I read the instructions,,,,,2,5,,,,,6,6,7,7,2,6,,,7,7,2,5,6,6,,,6,6,,,3,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
16/06/17 14:52,16/06/17 14:58,1,1,29289135,2,38,7,I read the instructions,,,1,6,,,2,5,4,4,,,6,6,,,6,5,,,2,6,,,5,4,,,7,7,1,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
16/06/17 14:51,16/06/17 14:59,1,1,38935031,2,25,7,i read the instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,5,5,,,7,7,,,2,7,,,,,6,7,,,3,6,7,7,,,5,7,5,5,6,6,,,,,1
16/06/17 14:59,16/06/17 15:03,1,1,21711637,1,25,7,I read the instructions,,,,,,,,,2,5,,,5,4,4,4,7,4,3,4,,,,,6,6,5,5,5,4,,,5,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
16/06/17 14:46,16/06/17 15:04,1,1,1023541,1,22,7,I read the instructions,3,5,2,6,5,5,,,2,6,3,6,,,5,5,,,6,6,,,3,5,,,,,2,5,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
